radar,date,time,pulse,dataset,elevation_deg,finite_gate_count,receiver_noise_count,receiver_noise_fraction,receiver_noise_max_dbz,receiver_noise_ge_10_dbz,receiver_noise_ge_20_dbz,ci_finite_count,ci_low_count,ci_high_count,near_zero_vrad_count,low_sqi_count,receiver_noise_figure_h_db,receiver_noise_figure_v_db,ambient_noise_h_median,ambient_noise_v_median,source_url
chenies,20260711,2100,lp,dataset1,0.5,153000,20403,0.1333529411764706,-9.399999618530273,0,0,153000,6891,133417,31048,44293,4.92,4.81,28.02500057220459,28.639999389648438,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/chenies/2026/07/11/lp/20260711_polar_pl_radar05_aggregate_lp_2100.h5
chenies,20260711,2100,lp,dataset2,1.0,153000,17981,0.11752287581699346,-9.399999618530273,0,0,153000,3778,134528,27264,40610,4.83,4.73,27.804999351501465,28.40999984741211,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/chenies/2026/07/11/lp/20260711_polar_pl_radar05_aggregate_lp_2100.h5
chenies,20260711,2100,lp,dataset3,2.0,153000,4892,0.031973856209150324,-8.5,0,0,153000,2499,91446,23208,20064,4.56,4.38,27.68000030517578,28.270000457763672,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/chenies/2026/07/11/lp/20260711_polar_pl_radar05_aggregate_lp_2100.h5
chenies,20260711,2100,lp,dataset4,3.0,153000,5174,0.033816993464052286,-8.0,0,0,153000,2603,91979,22742,20477,4.5,4.33,27.610000610351562,28.200000762939453,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/chenies/2026/07/11/lp/20260711_polar_pl_radar05_aggregate_lp_2100.h5
chenies,20260711,2100,lp,dataset5,3.95,153000,5360,0.03503267973856209,-7.399999618530273,0,0,153000,2265,91448,22714,21037,4.38,4.28,27.559999465942383,28.15999984741211,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/chenies/2026/07/11/lp/20260711_polar_pl_radar05_aggregate_lp_2100.h5
chenies,20260711,2100,sp,dataset1,1.0,68040,13406,0.19703115814226926,13.0,5150,0,68040,1282,61082,5621,41136,,,-32.0,-32.0,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/chenies/2026/07/11/sp/20260711_polar_pl_radar05_aggregate_sp_2100.h5
chenies,20260711,2100,sp,dataset2,2.0,68040,14719,0.2163286302175191,12.900001525878906,5692,0,68040,714,63647,3464,40866,,,-32.0,-32.0,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/chenies/2026/07/11/sp/20260711_polar_pl_radar05_aggregate_sp_2100.h5
chenies,20260711,2100,sp,dataset3,4.0,68040,15970,0.2347148736037625,12.799999237060547,5635,0,68040,606,64349,2658,42468,,,-32.0,-32.0,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/chenies/2026/07/11/sp/20260711_polar_pl_radar05_aggregate_sp_2100.h5
chenies,20260711,2100,sp,dataset4,6.0,68040,16892,0.24826572604350383,12.799999237060547,5601,0,68040,436,65312,2234,45664,,,-32.0,-32.0,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/chenies/2026/07/11/sp/20260711_polar_pl_radar05_aggregate_sp_2100.h5
chenies,20260711,2100,sp,dataset5,9.0,68040,18014,0.264756025867137,12.700000762939453,5430,0,68040,436,65341,2105,48429,,,-32.0,-32.0,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/chenies/2026/07/11/sp/20260711_polar_pl_radar05_aggregate_sp_2100.h5
